Araba/Álaba,01
Albacete,02
Alacant/Alicante,03
Almería,04
Asturias,33
Ávila,05
Badajoz,06
Barcelona,08
Bizkaia,48
Burgos,09
Cáceres,10
Cádiz,11
Cantabria,39
Castelló/Castellón,12
Ceuta,51
Ciudad Real,13
Córdoba,14
A Coruña,15
Cuenca,16
Girona,17
Granada,18
Guadalajara,19
Gipuzkoa,20
Huelva,21
Huesca,22
Isla de Menorca,071
Isla de Mallorca,072
Islas de Ibiza y Formentera,073
Isla de Lanzarote,351
Isla de Fuerteventura,352
Isla de Gran Canaria,353
Isla de Tenerife,381
Isla de La Gomera,382
Isla de La Palma,383
Isla de El Hierro,384
Jaén,23
León,24
Lleida,25
Lugo,27
Madrid,28
Málaga,29
Melilla,52
Murcia,30
Navarra,31
Ourense,32
Palencia,34
Pontevedra,36
La Rioja,26
Salamanca,37
Segovia,40
Sevilla,41
Soria,42
Tarragona,43
Teruel,44
Toledo,45
València/Valencia,46
Valladolid,47
Zamora,49
Zaragoza,50